"NFGOVCOFOG_FUNCTION","Overheidsfunctie","NFGOVCOFOG_ITEM","Item","NFGOVCOFOG_SECTOR","Institutionele sector","FREQUENCY","Frequentie","TIME","Periode","Value","Flag Codes","Flags"
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0.2,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0.2,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D1","Beloning van werknemers (D.1)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D1","Beloning van werknemers (D.1)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D1","Beloning van werknemers (D.1)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D1","Beloning van werknemers (D.1)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D1","Beloning van werknemers (D.1)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D3","Subsidies (D.3)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D3","Subsidies (D.3)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D3","Subsidies (D.3)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D3","Subsidies (D.3)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D3","Subsidies (D.3)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D4","Te betalen inkomen uit vermogen (D.4)","S1300","Totale overheid","A","Jaarlijks","2017","2017",10870.4,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D4","Te betalen inkomen uit vermogen (D.4)","S1311","Federale overheid","A","Jaarlijks","2017","2017",9545.8,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D4","Te betalen inkomen uit vermogen (D.4)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",1316.1,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D4","Te betalen inkomen uit vermogen (D.4)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",336.3,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D4","Te betalen inkomen uit vermogen (D.4)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",11,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1300","Totale overheid","A","Jaarlijks","2017","2017",496.4,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1311","Federale overheid","A","Jaarlijks","2017","2017",22.3,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",233.8,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1313","Lagere overheid","A","Jaarlijks","2017","2017",236.7,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",3.6,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D7","Betaalde inkomensoverdrachten (D.7)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D7","Betaalde inkomensoverdrachten (D.7)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D7","Betaalde inkomensoverdrachten (D.7)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0.3,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D7","Betaalde inkomensoverdrachten (D.7)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D7","Betaalde inkomensoverdrachten (D.7)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D9","Betaalde kapitaaloverdrachten (D.9)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D9","Betaalde kapitaaloverdrachten (D.9)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D9","Betaalde kapitaaloverdrachten (D.9)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D9","Betaalde kapitaaloverdrachten (D.9)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","D9","Betaalde kapitaaloverdrachten (D.9)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P3","Consumptieve bestedingen (P.3)","S1300","Totale overheid","A","Jaarlijks","2017","2017",496.4,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P3","Consumptieve bestedingen (P.3)","S1311","Federale overheid","A","Jaarlijks","2017","2017",22.3,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P3","Consumptieve bestedingen (P.3)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",233.8,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P3","Consumptieve bestedingen (P.3)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",236.7,,
"F01_7","01.7 Verrichtingen op het gebied van de overheidsschuld","P3","Consumptieve bestedingen (P.3)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",3.6,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","TOT","Totale overheidsuitgaven","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","TOT","Totale overheidsuitgaven","S1311","Federale overheid","A","Jaarlijks","2017","2017",62244,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","TOT","Totale overheidsuitgaven","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",5567.4,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","TOT","Totale overheidsuitgaven","S1313","Lagere overheid","A","Jaarlijks","2017","2017",301.1,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","TOT","Totale overheidsuitgaven","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D1","Beloning van werknemers (D.1)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D1","Beloning van werknemers (D.1)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D1","Beloning van werknemers (D.1)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D1","Beloning van werknemers (D.1)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D1","Beloning van werknemers (D.1)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D3","Subsidies (D.3)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D3","Subsidies (D.3)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D3","Subsidies (D.3)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D3","Subsidies (D.3)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D3","Subsidies (D.3)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D4","Te betalen inkomen uit vermogen (D.4)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D4","Te betalen inkomen uit vermogen (D.4)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D4","Te betalen inkomen uit vermogen (D.4)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D4","Te betalen inkomen uit vermogen (D.4)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D4","Te betalen inkomen uit vermogen (D.4)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D7","Betaalde inkomensoverdrachten (D.7)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D7","Betaalde inkomensoverdrachten (D.7)","S1311","Federale overheid","A","Jaarlijks","2017","2017",62222.5,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D7","Betaalde inkomensoverdrachten (D.7)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",5280,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D7","Betaalde inkomensoverdrachten (D.7)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",296.2,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D7","Betaalde inkomensoverdrachten (D.7)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D9","Betaalde kapitaaloverdrachten (D.9)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D9","Betaalde kapitaaloverdrachten (D.9)","S1311","Federale overheid","A","Jaarlijks","2017","2017",21.5,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D9","Betaalde kapitaaloverdrachten (D.9)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",287.5,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D9","Betaalde kapitaaloverdrachten (D.9)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",4.9,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","D9","Betaalde kapitaaloverdrachten (D.9)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P3","Consumptieve bestedingen (P.3)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P3","Consumptieve bestedingen (P.3)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P3","Consumptieve bestedingen (P.3)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P3","Consumptieve bestedingen (P.3)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_8","01.8 Overdrachten van algemene aard tussen verschillende bestuursniveaus","P3","Consumptieve bestedingen (P.3)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","TOT","Totale overheidsuitgaven","S1300","Totale overheid","A","Jaarlijks","2017","2017",3529.4,,
"F02","02 Defensie","TOT","Totale overheidsuitgaven","S1311","Federale overheid","A","Jaarlijks","2017","2017",3529.4,,
"F02","02 Defensie","TOT","Totale overheidsuitgaven","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","TOT","Totale overheidsuitgaven","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","TOT","Totale overheidsuitgaven","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1300","Totale overheid","A","Jaarlijks","2017","2017",196.3,,
"F02","02 Defensie","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1311","Federale overheid","A","Jaarlijks","2017","2017",196.3,,
"F02","02 Defensie","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D1","Beloning van werknemers (D.1)","S1300","Totale overheid","A","Jaarlijks","2017","2017",2691.6,,
"F02","02 Defensie","D1","Beloning van werknemers (D.1)","S1311","Federale overheid","A","Jaarlijks","2017","2017",2691.6,,
"F02","02 Defensie","D1","Beloning van werknemers (D.1)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D1","Beloning van werknemers (D.1)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D1","Beloning van werknemers (D.1)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D3","Subsidies (D.3)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D3","Subsidies (D.3)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D3","Subsidies (D.3)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D3","Subsidies (D.3)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D3","Subsidies (D.3)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D4","Te betalen inkomen uit vermogen (D.4)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D4","Te betalen inkomen uit vermogen (D.4)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D4","Te betalen inkomen uit vermogen (D.4)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D4","Te betalen inkomen uit vermogen (D.4)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D4","Te betalen inkomen uit vermogen (D.4)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1300","Totale overheid","A","Jaarlijks","2017","2017",558,,
"F02","02 Defensie","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1311","Federale overheid","A","Jaarlijks","2017","2017",558,,
"F02","02 Defensie","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D7","Betaalde inkomensoverdrachten (D.7)","S1300","Totale overheid","A","Jaarlijks","2017","2017",60.4,,
"F02","02 Defensie","D7","Betaalde inkomensoverdrachten (D.7)","S1311","Federale overheid","A","Jaarlijks","2017","2017",60.4,,
"F02","02 Defensie","D7","Betaalde inkomensoverdrachten (D.7)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D7","Betaalde inkomensoverdrachten (D.7)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D7","Betaalde inkomensoverdrachten (D.7)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F02","02 Defensie","D9","Betaalde kapitaaloverdrachten (D.9)","S1300","Totale overheid","A","Jaarlijks","2017","2017",23.1,,
"F02","02 Defensie","D9","Betaalde kapitaaloverdrachten (D.9)","S1311","Federale overheid","A","Jaarlijks","2017","2017",23.1,,
"F02","02 Defensie","D9","Betaalde kapitaaloverdrachten (D.9)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
